"STAR_KEY":"star_name":"distance":"Star Temperature":"star mass":"star radius":"Luminosity":"Type Of Star"
9674:"Baekdu":801.732:3289:0.3:0.51:0.02:"M|0|V"
4014:"Aegis Cryptic":47.1:3937:0.5:0.82:0.49:"K|5|V"
9492:"Oakenshield":1191.19:2673:0.3:0.18:0.06:"M|7|V"
7622:"Osiris Cascade":21.98:5526:0.8:1.03:1:"G|2|V"
2685:"Cosmoth":767.15:2446:0.3:0.33:0.04:"M|5|V"
2521:"Hannya Cosmos":1009:2533:0.3:0.24:0.04:"M|4|V"
6607:"Astraflux":1323.08:3139:0.3:0.46:0.02:"M|3|V"
8282:"Alphard":1522.77:2616:0.3:0.31:0.01:"M|2|V"
453:"Crimson Void":941.088:3129:0.3:0.24:0.01:"M|2|V"
1598:"Stellarastra":208.221:4331:0.6:0.91:0.1:"K|1|V"
9981:"Quasarionara":536.107:2448:0.4:0.21:0.05:"M|5|V"
9462:"Galaxium":284.58:4134:0.7:0.79:0.15:"K|6|V"
8975:"Tureis":664.24:2522:0.3:0.62:0.03:"M|2|V"
8870:"Starlight Haven":567.601:2942:0.2:0.2:0.05:"M|4|V"
3848:"Hannya's Expanse":28.1:2540:0.2:0.08:0.03:"M|5|V"
3914:"Fafnir":1011.33:2602:0.4:0.4:0.01:"M|4|V"
8743:"Cassioth":345.9:3107:0.2:0.16:0.07:"M|3|V"
4851:"Galaxy Prism":399.106:2616:0.4:0:0.05:"M|3|V"
2944:"Enishi Resonance":2800:2810:0.4:0.4:0.04:"M|5|V"
3387:"Okab":884.095:2984:0.4:0.35:0.07:"M|4|V"
9255:"Zephyrion":60:3759:0.5:0.94:0.31:"K|7|V"
5829:"Horus' Ascendance":1261.67:4605:0.7:0.85:0.31:"K|3|V"
7788:"Fjordfall":990.44:2764:0.2:0.66:0.02:"M|2|V"
3415:"Aldhibah":403.665:4252:0.6:0.84:0.36:"K|5|V"
3894:"Frostbinder":30.5212:3803:0.6:0.91:0.48:"K|7|V"
1199:"Asahi Horizon":134.9:3911:0.6:0.77:0.56:"K|3|V"
6717:"Almach":43:2468:0.4:0.66:0.08:"M|3|V"
888:"Pulsara":463.88:3748:0.5:0.91:0.12:"K|6|V"
3647:"Eagleeye":512.033:2539:0.4:0.37:0.05:"M|4|V"
7162:"Mjornir":37.0788:3674:0.3:0.5:0.08:"M|0|V"
6480:"Keid":48:3779:0.6:0.88:0.48:"K|4|V"
6694:"Talitha":82.4251:2843:0.3:0.47:0.07:"M|1|V"
7070:"Cosmoflare":583.976:3130:0.2:0.61:0.06:"M|0|V"
4131:"Auroraflame":19.89:2644:0.2:0.55:0:"M|6|V"
4071:"Asellus Borealis":130.855:4679:0.6:0.95:0.35:"K|0|V"
8666:"Hadar":1754.39:5317:0.9:1.15:0.98:"G|2|V"
8236:"Nebuloria":1268.38:3408:0.3:0.65:0.06:"M|1|V"
33:"Ninja's Radiance":443.8:2520:0.1:0.15:0.03:"M|6|V"
8888:"Belel":7000:4409:0.7:0.73:0.52:"K|2|V"
3289:"Lotus Echo":818.482:2803:0.1:0.36:0.05:"M|5|V"
5626:"Asterion Abyss":223.47:4257:0.5:0.78:0.6:"K|5|V"
3717:"Polis":927.558:4020:0.6:0.83:0.52:"K|2|V"
4627:"Illyrian":337.11:2939:0.4:0.69:0.03:"M|5|V"
1794:"Natasha":474.654:4046:0.6:0.93:0.19:"K|5|V"
4228:"Titanic Mirage":1510.8:3900:0.6:0.79:0.18:"K|7|V"
1747:"Felixvarela":1099.14:5727:0.9:1.11:1.02:"G|2|V"
9243:"Solarion":587.59:3141:0.3:0.38:0.04:"M|3|V"
3999:"Phantasma":49.46:3461:0.3:0.32:0:"M|0|V"
7881:"Alula Borealis":212.3:4530:0.8:0.84:0.23:"K|3|V"
3896:"Ukiyo's Resonance":283.53:2804:0.2:0.4:0.04:"M|3|V"
2005:"Sakura Seraph":630.955:5388:0.9:1.12:0.89:"G|2|V"
7867:"Titanium Quasar":185.947:2944:0.3:0.64:0.06:"M|3|V"
7624:"Mjoltr":83.29:2930:0.3:0.39:0.03:"M|2|V"
3525:"Sham":47.4:2420:0.2:0.35:0.05:"M|5|V"
655:"Hanami Echo":1230.47:2604:0.2:0.29:0.05:"M|3|V"
7110:"Nemea Residue":371.823:3914:0.8:0.81:0.26:"K|5|V"
5854:"Moriah":121.8:2530:0.3:0.04:0.04:"M|2|V"
2954:"Alasia":935.366:4672:0.7:0.94:0.24:"K|0|V"
3050:"Taiyi":768.167:5418:0.9:1:1.36:"G|2|V"
1245:"Ran":443:3094:0.4:0.5:0.03:"M|4|V"
2125:"Hawkfire":250.489:3340:0.3:0.4:0.06:"M|1|V"
7594:"Jishui":485.319:2966:0.4:0.32:0:"M|3|V"
